molecule,functional,oxidation_potential,reduction_potential
PA_1,M06,-0.17293153827386246,-3.22438022087823
PA_2,M06,-0.13591125017819508,-2.633565843836791
PA_3,M06,-0.0619893156691175,-2.5296310999729434
PDI_1,M06,1.2286969997122639,-0.8884905743748609
PDI_2,M06,1.4653379129145585,-0.6422775083442142
PDI_3,M06,1.9258154168928407,-0.3439842791619302
Ph-Acr_1,M06,1.2052247215230154,-1.191042387064221
Ph-Acr_2,M06,1.4802717992302363,-0.8311588838601
POZ_1,M06,0.21021906919077757,-2.446572667102169
POZ_2,M06,0.3088922175009744,-2.4087795753558345
POZ_3,M06,0.26926725456783684,-2.754745265780637
POZ_4,M06,0.2820421887094128,-3.1091239035361347
POZ_5,M06,0.19631867170642323,-2.482657427399145
PTZ_1,M06,0.28357364608900026,-3.0178002812122235
PTZ_2,M06,0.4426386785128017,-2.94566123737518
PTZ_3,M06,0.38922161945120826,-2.5891037831261126
Rh_6G,M06,0.975029371715746,-1.1880515825155942
Rh_B,M06,0.9112341582888283,-1.119836966235909
BF3-Acr_m,M062X,2.1558994720789832,-0.829217622866877
BF3-Acr_o,M062X,2.132799990015491,-1.0060661190083944
BF3-Acr_p,M062X,2.2317183130044334,-0.7787004822867901
BOH-Acr_m,M062X,2.3588407038571213,-0.5538154364368565
BOH-Acr_o,M062X,2.3801649144393537,-0.5128462305388201
BOH-Acr_p,M062X,2.3614070106234517,-0.5418818786598195
CA_1,M062X,1.5155742318927188,-1.3692509087929134
CA_2,M062X,1.4078171032106161,-1.6549765546788615
CA_3,M062X,1.5588904207097039,-1.2011326448713868
Eos_1,M062X,0.12718376600959455,-2.100851335022861
Eos_2,M062X,0.20507747589336364,-1.9925771898124665
Eos_3,M062X,0.1725549594716199,-2.099940025364284
Eos_Y,M062X,0.45038739571549746,-1.9155183255808264
Me2-Acr_1,M062X,0.7338191208758943,-2.43314357099837
Me2-Acr_2,M062X,0.6258769547017998,-2.4664731774354505
Me2-Acr_3,M062X,0.747957890187657,-2.5359797908013255
Mes-Acr_1,M062X,2.1885697463875675,-0.6530099550959941
NCE_1,M062X,1.531130442830451,-1.9596250054421533
NCE_2,M062X,1.2609288984340767,-1.9113337570618847
NCE_3,M062X,1.4422191107661413,-1.9912209738299596
NCE_4,M062X,1.2118286552516042,-1.969466006848636
PA_1,M062X,-0.019510965744741787,-3.3670705235751757
PA_2,M062X,0.024846875319602363,-2.8727888464215057
PA_3,M062X,0.11257206262912031,-2.763889111215837
PDI_1,M062X,1.561541082802902,-0.789032377285304
PDI_2,M062X,1.8271730174506353,-0.5918539749730191
PDI_3,M062X,2.2656977275923693,-0.20164364290733464
Ph-Acr_1,M062X,1.3465079229265382,-1.1006613674952335
Ph-Acr_2,M062X,1.742868574752492,-0.78289022095035
POZ_1,M062X,0.4754918134030538,-2.4034904962857575
POZ_2,M062X,0.5186216041602553,-2.4449407996778207
POZ_3,M062X,0.4733293237601158,-2.80795089229052
POZ_4,M062X,0.48049734972633884,-3.098616767149821
POZ_5,M062X,0.4279238439427019,-2.855135453181487
PTZ_1,M062X,0.48702454731574074,-3.363776311957197
PTZ_2,M062X,0.633244712316302,-2.960987784132986
PTZ_3,M062X,0.6067383634582854,-2.6044379490746925
Rh_6G,M062X,1.1655782615853485,-1.0984011889276526
Rh_B,M062X,1.1148154020981624,-1.0619199585931614
BF3-Acr_m,M06L,1.4326730808926116,-1.060976267375342
BF3-Acr_o,M06L,1.4309084218487933,-1.197250667088546
BF3-Acr_p,M06L,1.4502568129527682,-1.0391119105814117
BOH-Acr_m,M06L,1.698470732935038,-0.7716328663653264
BOH-Acr_o,M06L,1.7450430374161328,-0.726990394100575
BOH-Acr_p,M06L,1.722369685819999,-0.7660999731904833
CA_1,M06L,0.7606775852007616,-1.4877804849706249
CA_2,M06L,0.6178063267275761,-1.8170528001991104
CA_3,M06L,0.8484512087966941,-1.2971725463771646
Eos_1,M06L,-0.29678720101881273,-2.3001489608579417
Eos_2,M06L,-0.16540976415263167,-2.17872137099487
Eos_3,M06L,-0.2647460541959926,-2.296391883386526
Eos_Y,M06L,-0.02933047017144333,-2.208631321271098
Me2-Acr_1,M06L,0.2649422752664933,-2.528754893015381
Me2-Acr_2,M06L,0.04469377920638315,-2.4238557772686224
Me2-Acr_3,M06L,0.2649820039023322,-2.112482302069984
Mes-Acr_1,M06L,1.5614036652517007,-0.7954175313855857
NCE_1,M06L,0.9749684181895552,-2.036696386925944
NCE_2,M06L,0.6620381790175985,-2.0493009777318147
NCE_3,M06L,0.7926686630582896,-1.9250510218503933
NCE_4,M06L,0.5187693620440023,-1.917126519074853
PA_1,M06L,-0.42293624023002374,-3.1361714870625588
PA_2,M06L,-0.38569227446014087,-2.448137866605698
PA_3,M06L,-0.2577804810074452,-2.269819410842232
PDI_1,M06L,1.0465765676783634,-0.9279822014601743
PDI_2,M06L,1.2686076822963295,-0.7589202463208283
PDI_3,M06L,1.5529009203167798,-0.43991070913316255
Ph-Acr_1,M06L,0.9564804514332407,-1.3762836941120722
Ph-Acr_2,M06L,1.3048880925382078,-1.0563163157879356
POZ_1,M06L,-0.06614857757267548,-2.3645460903745614
POZ_2,M06L,-0.00595832990040393,-2.4505107003498248
POZ_3,M06L,-0.008099322544999593,-2.826890840339371
POZ_4,M06L,-0.0029860290972635595,-3.1538844732640694
POZ_5,M06L,-0.13613928167305858,-2.4178594740181754
PTZ_1,M06L,0.0335447259865381,-3.009735911854794
PTZ_2,M06L,0.1900690303581026,-3.016231272110214
PTZ_3,M06L,0.1287886941520565,-2.689078724632878
Rh_6G,M06L,0.7486759989351143,-1.432424341816851
Rh_B,M06L,0.6632096296191984,-1.3580262078813097
BF3-Acr_m,PBE-D3,1.5090908446487208,-0.9765637954354774
BF3-Acr_o,PBE-D3,1.6609217274107402,-1.090766487518792
BF3-Acr_p,PBE-D3,1.4313372734579253,-0.9281128161662265
BOH-Acr_m,PBE-D3,1.7877322756700518,-0.6850962728474771
BOH-Acr_o,PBE-D3,1.8002350958479023,-0.5855044677990126
BOH-Acr_p,PBE-D3,1.7562508672549382,-0.6474185574194607
CA_1,PBE-D3,0.7709166893298219,-1.3159614711721428
CA_2,PBE-D3,0.5815506788634469,-1.6341854153582815
CA_3,PBE-D3,0.8288383229166755,-1.1573881486674371
Eos_1,PBE-D3,-0.19841501074727877,-2.1592532497395553
Eos_2,PBE-D3,-0.01597538904649856,-2.059890292531579
Eos_3,PBE-D3,-0.20303904329423297,-2.097133986184191
Eos_Y,PBE-D3,0.015394180525320239,-2.1123954976814927
Me2-Acr_1,PBE-D3,0.3362208947496891,-2.358166378551636
Me2-Acr_2,PBE-D3,0.12855930208321417,-2.2202024232549253
Me2-Acr_3,PBE-D3,0.36508592742390056,-1.881617007690589
Mes-Acr_1,PBE-D3,1.8705798202174706,-0.7660523532496931
NCE_1,PBE-D3,1.0696066606854528,-1.8347026559641058
NCE_2,PBE-D3,0.7392973191413402,-1.8505693489336092
NCE_3,PBE-D3,0.8533375591877143,-1.6934341487137772
NCE_4,PBE-D3,0.588978301547432,-1.6696611845969498
PA_1,PBE-D3,-0.32093241703304043,-2.8463325665349672
PA_2,PBE-D3,-0.28270802465926115,-2.2546251114693545
PA_3,PBE-D3,-0.20946011643806042,-2.0023926125110423
PDI_1,PBE-D3,1.170477945580331,-0.7652645833347494
PDI_2,PBE-D3,1.3399439899417787,-0.5755753014671819
PDI_3,PBE-D3,1.6818970878900612,-0.3028145252792708
Ph-Acr_1,PBE-D3,1.0130047798184871,-1.284531764407384
Ph-Acr_2,PBE-D3,1.3216693605364145,-0.8889550729071737
POZ_1,PBE-D3,0.043455116455610815,-2.1388700092395574
POZ_2,PBE-D3,0.09833152268933673,-2.2204010664434017
POZ_3,PBE-D3,0.08944591339482474,-2.5730947745564055
POZ_4,PBE-D3,0.11896048209643392,-2.849956308155465
POZ_5,PBE-D3,-0.03179010824837683,-2.175005382730179
PTZ_1,PBE-D3,0.1068666491958746,-2.780819769776667
PTZ_2,PBE-D3,0.24385562018151283,-2.7685395388163228
PTZ_3,PBE-D3,0.18259025023974348,-2.5121692749589823
Rh_6G,PBE-D3,0.7847855216005583,-1.2870273215495187
Rh_B,PBE-D3,0.8021912911373305,-1.2409029166513967
BF3-Acr_m,TDHF,0.5868452001985066,-0.9251886795384187
BF3-Acr_o,TDHF,0.4821417343935567,-1.0971524579616054
BF3-Acr_p,TDHF,0.6227500931697639,-0.898500558552349
BOH-Acr_m,TDHF,0.7259533947069402,-0.6785337004366968
BOH-Acr_o,TDHF,0.7304658605278705,-0.5917396871114103
BOH-Acr_p,TDHF,0.7124973593181624,-0.6527560727697662
CA_1,TDHF,-1.2723456848842858,-2.0572575899555137
CA_2,TDHF,-1.0073643747175653,-2.416556320253815
CA_3,TDHF,-0.027222131172424474,-3.5667246187101287
Eos_1,TDHF,-2.203830958885822,-2.752886999534114
Eos_2,TDHF,-2.1761517988584136,-2.6229966654613897
Eos_3,TDHF,-2.244731864171789,-2.7306805954947952
Eos_Y,TDHF,-1.7658012240642456,-2.3840060482045606
Me2-Acr_1,TDHF,-1.1231028779980226,-3.450167596625081
Me2-Acr_2,TDHF,-2.5927974580344615,-3.4371507531748864
Me2-Acr_3,TDHF,-2.14250354696734,-3.3515241087354473
Mes-Acr_1,TDHF,0.5462468856269856,-0.799024129828389
NCE_1,TDHF,-0.20915643725762526,-2.195615294163435
NCE_2,TDHF,-0.789792663696195,-2.2305403047529633
NCE_3,TDHF,-0.5583126638762387,-2.154583774159041
NCE_4,TDHF,-0.3966916650062785,-1.832591867965335
PA_1,TDHF,-0.9534330202694513,-4.591893015194302
PA_2,TDHF,-0.08015863698072004,-4.346930584938223
PA_3,TDHF,-0.8222125931566676,-4.33948473060746
PDI_1,TDHF,-0.44224952863917133,-1.8122094438047753
PDI_2,TDHF,0.0689083842770147,-1.3047237087985954
PDI_3,TDHF,-0.09685908713326832,-0.8861444078077233
Ph-Acr_1,TDHF,-0.8317466500187755,-1.3199152870235138
Ph-Acr_2,TDHF,-0.19560434564164134,-0.9221303907264414
POZ_1,TDHF,-2.4710357122216715,-3.4510103335635987
POZ_2,TDHF,-1.9948743758710212,-3.4437299245288195
POZ_3,TDHF,-1.368183133603107,-3.628855311036186
POZ_4,TDHF,-1.0879887482007513,-4.048758446453416
POZ_5,TDHF,-2.248999155320161,-2.4978685978386332
PTZ_1,TDHF,-1.1337675683722752,-4.095087481048819
PTZ_2,TDHF,-0.30287956049646547,-3.718623257849676
PTZ_3,TDHF,-0.8523573777914691,-3.5034349930098743
Rh_6G,TDHF,-0.862873221825266,-1.2774763936207996
Rh_B,TDHF,-1.128544612994662,-1.2561266043306607
BF3-Acr_m,TPSS,1.465893569625075,-1.0317272819002987
BF3-Acr_o,TPSS,1.4356554499048397,-1.1692515010424454
BF3-Acr_p,TPSS,1.410206263786813,-0.9732932577292587
BOH-Acr_m,TPSS,1.7639639374849554,-0.7819995919475836
BOH-Acr_o,TPSS,1.946720027735592,-0.6648776612916504
BOH-Acr_p,TPSS,1.692296195043935,-0.7124965160691058
CA_1,TPSS,0.6928659696926568,-1.2759762293468389
CA_2,TPSS,0.5532151799480239,-1.6742125627235613
CA_3,TPSS,0.7727504653127723,-1.1836332681257233
Eos_1,TPSS,-0.2763606943986717,-2.286089648817857
Eos_2,TPSS,-0.11235243974866319,-2.1724823420778043
Eos_3,TPSS,-0.2845162219404921,-2.6816943680504743
Eos_Y,TPSS,0.02554403130325919,-2.1711857190784447
Me2-Acr_1,TPSS,0.2449416269933483,-2.4488603291738027
Me2-Acr_2,TPSS,0.06635432263937754,-2.3235153867157923
Me2-Acr_3,TPSS,0.27706767338376415,-1.9876949211186368
Mes-Acr_1,TPSS,1.585299080652359,-0.8221921846088466
NCE_1,TPSS,0.9914650549811675,-1.9181047687653323
NCE_2,TPSS,0.6848092195321881,-1.9376586059091196
NCE_3,TPSS,0.7476392447429442,-1.7986527262508734
NCE_4,TPSS,0.5285121303098613,-1.7679963673651353
PA_1,TPSS,-0.40011513075014304,-2.9886190521085205
PA_2,TPSS,-0.3590961279978998,-2.3771621099634994
PA_3,TPSS,-0.2599603859515355,-2.118684595588598
PDI_1,TPSS,1.0965979166174162,-0.8490816699251645
PDI_2,TPSS,1.2862588986353054,-0.6219418877911934
PDI_3,TPSS,1.2902801987469323,-0.37110941514532436
Ph-Acr_1,TPSS,0.9466859815108398,-1.3066132681414646
Ph-Acr_2,TPSS,1.260791480879781,-0.9689304545913159
POZ_1,TPSS,0.012557120372338554,-2.279352651364902
POZ_2,TPSS,0.02289745090106407,-2.3399698458439713
POZ_3,TPSS,0.016268210575652725,-2.680631218817148
POZ_4,TPSS,0.04849385067138953,-3.0176838164310102
POZ_5,TPSS,-0.10416425853651604,-2.286831975705428
PTZ_1,TPSS,0.05666461659166497,-2.9066349251616175
PTZ_2,TPSS,0.2149475934951491,-2.8899946122020093
PTZ_3,TPSS,0.13412648161344584,-2.6051963306832495
Rh_6G,TPSS,0.7289991662760477,-1.4263336150180743
Rh_B,TPSS,0.5877317474886153,-1.3206766618911132
BF3-Acr_m,wB97XD,1.9829661516127994,-0.8977149655508224
BF3-Acr_o,wB97XD,1.9251985345326754,-1.0663924236640754
BF3-Acr_p,wB97XD,2.028635309854446,-0.8589011743333045
BOH-Acr_m,wB97XD,2.1519377649133804,-0.6632694677790621
BOH-Acr_o,wB97XD,2.1651015499047905,-0.5699477126329259
BOH-Acr_p,wB97XD,2.1839968712657067,-0.6152247546577047
CA_1,wB97XD,1.2584474912105938,-1.4031957648834412
CA_2,wB97XD,1.3283037710188181,-1.71051202093
CA_3,wB97XD,1.3456368861352481,-1.2716403654938757
Eos_1,wB97XD,-0.09644166431339177,-2.1953178736059815
Eos_2,wB97XD,0.0660656097294062,-2.0793224947464415
Eos_3,wB97XD,-0.09609907283346111,-2.1548964331042297
Eos_Y,wB97XD,0.20350656201376846,-1.97672491889126
Me2-Acr_1,wB97XD,0.5452427851082359,-2.52050956787243
Me2-Acr_2,wB97XD,0.42402009705043453,-2.543191627119139
Me2-Acr_3,wB97XD,0.5587263040072538,-2.502895903268251
Mes-Acr_1,wB97XD,2.0742255550434874,-0.7267095724924614
NCE_1,wB97XD,1.3211488065238188,-2.032941214263049
NCE_2,wB97XD,1.0698934687992767,-2.007944281548643
NCE_3,wB97XD,1.2620010274383433,-2.150306414807768
NCE_4,wB97XD,1.0422752622918723,-2.1236914924765826
PA_1,wB97XD,-0.17648044855131975,-3.5214317940692603
PA_2,wB97XD,-0.07100445120678636,-2.6169908382302087
PA_3,wB97XD,-0.0493501663967745,-3.0388553710804933
PDI_1,wB97XD,1.3548106641113766,-0.9385679787911031
PDI_2,wB97XD,1.708799634680696,-0.7772517475582873
PDI_3,wB97XD,2.0315746848638017,-0.3069996379708829
Ph-Acr_1,wB97XD,1.146163474677826,-1.185755757018645
Ph-Acr_2,wB97XD,1.5556462780632043,-0.8647290390441941
POZ_1,wB97XD,0.28750759762090505,-2.5090739786467506
POZ_2,wB97XD,0.33907645866362535,-2.528679245335996
POZ_3,wB97XD,0.31649834694907286,-2.89524205783082
POZ_4,wB97XD,0.322570297878905,-3.2196718330075016
POZ_5,wB97XD,0.30585569780770394,-3.166715190771751
PTZ_1,wB97XD,0.36129537994272065,-3.2589754293510613
PTZ_2,wB97XD,0.5173486550540943,-3.0384697855976914
PTZ_3,wB97XD,0.4659944919270226,-2.661406095333348
Rh_6G,wB97XD,0.983089659369799,-1.1638911281136308
Rh_B,wB97XD,0.9099862436622189,-1.1037762560096605
