molecule,functional,oxidation_potential,reduction_potential
POZ_5,RI-wB2PLYP,0.44354894786929755,-2.9855705357193987
PTZ_1,RI-wB2PLYP,0.46758104530143374,-3.379530724450458
PTZ_2,RI-wB2PLYP,0.6012081808204295,-3.2548273654991817
PTZ_3,RI-wB2PLYP,0.7000985661310075,-2.7759631287868256
Rh_6G,RI-wB2PLYP,1.2579106095399428,-1.273828408817678
Rh_B,RI-wB2PLYP,1.1696851252205658,-1.2365642244394506
BF3-Acr_m,DSD-BLYP,2.191206437077007,-1.3971424240996035
BF3-Acr_o,DSD-BLYP,2.187418934802224,-1.528936614100362
BF3-Acr_p,DSD-BLYP,2.2322145119892003,-1.3664007348965281
BOH-Acr_m,DSD-BLYP,2.3875192045907907,-1.1032467655145557
BOH-Acr_o,DSD-BLYP,2.423766738285546,-1.0657801250639918
BOH-Acr_p,DSD-BLYP,2.4027831961597386,-1.1090615551548537
CA_1,DSD-BLYP,1.507369886849105,-1.7523278122853343
CA_2,DSD-BLYP,1.3791875256058512,-2.0519389318352435
CA_3,DSD-BLYP,1.6623459795044324,-1.5123872261188924
Eos_1,DSD-BLYP,0.6397950559201044,-2.54749198500469
Eos_2,DSD-BLYP,0.792994291771782,-2.4418346498208985
Eos_3,DSD-BLYP,1.170898928464533,-2.786867883540464
Eos_Y,DSD-BLYP,0.8944133140970036,-2.37156798297815
Me2-Acr_1,DSD-BLYP,0.8736106923166922,-2.713644060933607
Me2-Acr_2,DSD-BLYP,1.0109301429898547,-3.095890475072502
Me2-Acr_3,DSD-BLYP,1.1480832370454843,-2.7652486712072126
Mes-Acr_1,DSD-BLYP,2.37971500108587,-1.1398559256824305
NCE_1,DSD-BLYP,1.5210633383849332,-2.3932297925567614
NCE_2,DSD-BLYP,1.2842598991349474,-2.3990403565371436
NCE_3,DSD-BLYP,1.5920014164958713,-2.647391558293495
NCE_4,DSD-BLYP,1.8938743508436646,-2.6440173938683946
PA_1,DSD-BLYP,-0.2555737638594495,-3.498641199174556
PA_2,DSD-BLYP,-0.2115542105146595,-2.6816526108104206
PA_3,DSD-BLYP,-0.09290620081533962,-2.6683703054916155
PDI_1,DSD-BLYP,1.7485243341836618,-1.055617932848103
PDI_2,DSD-BLYP,2.0476672250953465,-0.9835721310664285
PDI_3,DSD-BLYP,2.5410035590298357,-0.602608922805616
Ph-Acr_1,DSD-BLYP,1.5792816708718371,-1.6306887746130276
Ph-Acr_2,DSD-BLYP,1.8686204467142353,-1.3677786950263835
POZ_1,DSD-BLYP,0.7227266703438007,-3.127520258781388
POZ_2,DSD-BLYP,0.625408071048021,-2.9729257591490112
POZ_3,DSD-BLYP,0.5424181050505483,-3.195386397499148
POZ_4,DSD-BLYP,0.45463402969759237,-3.507777464292878
POZ_5,DSD-BLYP,0.6520384029098407,-3.1945533728381497
PTZ_1,DSD-BLYP,0.4563181940261174,-3.4285247411395123
PTZ_2,DSD-BLYP,0.5627781002168364,-3.347076401411198
PTZ_3,DSD-BLYP,0.8683447840096363,-2.8558096176904106
Rh_6G,DSD-BLYP,1.4609350916004766,-1.6610872769524203
Rh_B,DSD-BLYP,1.4112593333833754,-1.6065394475002481
BF3-Acr_m,B3LYP-D3,1.7685245674812173,-0.9622051580356049
BF3-Acr_o,B3LYP-D3,1.714009256466721,-1.1150327942459652
BF3-Acr_p,B3LYP-D3,1.7532072725992482,-0.9179871835531505
BOH-Acr_m,B3LYP-D3,2.0078882529872595,-0.728924580143753
BOH-Acr_o,B3LYP-D3,2.049699379481282,-0.6166772989846881
BOH-Acr_p,B3LYP-D3,1.979975074946902,-0.660012535775515
CA_1,B3LYP-D3,1.010708682204267,-1.417228137647827
CA_2,B3LYP-D3,0.7926381862951942,-1.681667396794329
CA_3,B3LYP-D3,1.1486644741035037,-1.217486693939338
Eos_1,B3LYP-D3,-0.15782513170906257,-2.2113690598391225
Eos_2,B3LYP-D3,0.0010586728212272634,-2.1208193296163995
Eos_3,B3LYP-D3,-0.11629292202700672,-2.2143212242055252
Eos_Y,B3LYP-D3,0.18396061617802548,-2.0448159954273124
Me2-Acr_1,B3LYP-D3,0.4158395350321561,-2.4723326073630507
Me2-Acr_2,B3LYP-D3,0.23384862925069302,-2.4685793394963027
Me2-Acr_3,B3LYP-D3,0.41575164222717176,-2.1924193156860796
Mes-Acr_1,B3LYP-D3,1.7294582545083572,-0.7840684744001915
NCE_1,B3LYP-D3,1.169795211644972,-1.9709076666147194
NCE_2,B3LYP-D3,0.865198734649305,-1.923454529238143
NCE_3,B3LYP-D3,0.9765461349390471,-1.9322612254893312
NCE_4,B3LYP-D3,0.7942787613670245,-1.8944496299913234
PA_1,B3LYP-D3,-0.27661947478008864,-3.158662794419555
PA_2,B3LYP-D3,-0.24191678129079755,-2.5991295499196903
PA_3,B3LYP-D3,-0.14357996583754887,-2.5546647680672403
PDI_1,B3LYP-D3,1.2165947312876786,-0.8326764634290263
PDI_2,B3LYP-D3,1.463952036514581,-0.6228140130330052
PDI_3,B3LYP-D3,1.8704309738770148,-0.2978201456125017
Ph-Acr_1,B3LYP-D3,1.0963266190024101,-1.2470905160106298
Ph-Acr_2,B3LYP-D3,1.4306877374274332,-0.912373200415379
POZ_1,B3LYP-D3,0.11299955365808464,-2.4472407068781474
POZ_2,B3LYP-D3,0.2105238368279215,-2.456080601021829
POZ_3,B3LYP-D3,0.16937993375806534,-2.747633567393405
POZ_4,B3LYP-D3,0.19218036257904067,-3.113414596478996
POZ_5,B3LYP-D3,0.08847283387061874,-2.4903204286638707
PTZ_1,B3LYP-D3,0.1970797744505651,-3.040645064597676
PTZ_2,B3LYP-D3,0.34804043677310725,-2.7845945346479444
PTZ_3,B3LYP-D3,0.287493991930608,-2.6318534306840564
Rh_6G,B3LYP-D3,0.8910424860148872,-1.2690229012993584
Rh_B,B3LYP-D3,0.8098942931520728,-1.2145073181737787
BF3-Acr_m,B97D3,1.4181868220457292,-1.0714371443886583
BF3-Acr_o,B97D3,1.558552455167693,-1.2163435431874174
BF3-Acr_p,B97D3,1.3424490710770205,-1.0179136887673135
BOH-Acr_m,B97D3,1.707587094872372,-0.7875395600910337
BOH-Acr_o,B97D3,1.7406930236259561,-0.7072507031191709
